video,well1_coverage,well2_coverage,well3_coverage,well4_coverage,well5_coverage,well6_coverage,well1_center_coverage,well2_center_coverage,well3_center_coverage,well4_center_coverage,well5_center_coverage,well6_center_coverage
Xen_loco-20241114T114530-f30.avi,28.91,34.71,27.83,36.77,29.21,31.10,25.97,31.16,24.14,35.61,26.50,27.21
Xen_loco-20250507T101557-f30.avi,2.90,22.17,14.33,21.05,22.71,16.72,2.26,17.51,13.19,17.09,19.52,13.82
Xen_loco-20250507T104155-f30.avi,17.73,3.59,22.24,8.80,17.36,10.48,14.45,4.71,19.31,7.03,13.35,10.98
Xen_loco-20250507T110006-f30.avi,2.70,26.62,9.33,19.68,0.00,3.28,2.83,22.74,10.11,18.84,0.00,3.33
Xen_loco-20250507T112105-f30.avi,8.24,3.69,1.19,0.37,1.95,3.48,7.74,3.59,0.93,0.58,1.67,4.18
Xen_loco-20250507T113949-f30.avi,4.43,0.78,13.37,0.00,14.05,9.91,5.08,0.61,12.89,0.00,14.36,7.41
Xen_loco-20250507T115622-f30.avi,27.87,6.36,5.96,6.18,15.00,6.59,26.77,5.72,6.21,6.26,12.85,4.81
Xen_loco-20250507T123406-f30.avi,20.72,1.56,0.00,2.07,0.54,0.00,21.33,1.25,0.00,1.41,0.36,0.00
Xen_loco-20250507T132821-f30.avi,10.80,29.60,26.85,0.00,31.21,6.93,10.24,24.27,23.01,0.00,29.72,5.70
Xen_loco-20250507T134536-f30.avi,1.05,14.10,24.80,11.25,7.53,5.19,0.81,13.17,22.25,8.95,6.66,5.00
Xen_loco-20250627T093852-f30.avi,21.00,6.41,23.36,32.44,32.25,27.18,16.69,7.23,20.38,30.60,28.30,24.11
Xen_loco-20250627T101255-f30.avi,33.22,20.90,29.24,33.42,32.27,60.94,32.19,17.12,28.05,31.34,26.53,64.98
Xen_loco-20250627T104046-f30.avi,48.25,28.19,0.00,23.43,32.54,42.59,48.88,24.46,0.00,20.34,28.18,40.12
Xen_loco-20250627T134528-f30.avi,37.22,43.65,32.45,28.89,37.63,31.92,34.01,40.58,27.34,26.32,34.75,29.25
